4230,6981,-3659,-7253,-2953,-741,1020,-252,385,-75,-413,-42,275,93,299,108
4247,7124,-3676,-7427,-2988,-748,1015,-254,385,-74,-413,-45,211,76,251,95
4269,7202,-4195,-7638,3253,-715,1038,-286,382,-61,-407,-46,179,71,247,97
4286,6476,-4487,-6972,3639,-662,1001,-283,381,-56,-405,-43,138,75,237,81
4304,5738,-4641,-6442,3684,-611,963,-319,378,-50,-404,-44,108,81,197,96
4321,5211,-4892,-5915,4048,-558,924,-309,375,-47,-400,-43,94,86,165,101
4339,4867,-4722,-5431,4054,-533,869,-282,368,-42,-394,-43,77,84,160,100
4356,4194,-4935,-4758,4409,-469,836,-270,366,-37,-389,-43,66,90,145,87
4387,3063,-4968,-3672,4575,-383,746,-255,363,-32,-381,-43,46,99,127,107
4405,-3466,-5250,-3067,4885,-317,710,-270,360,-31,-376,-43,46,102,128,171
4422,-4026,-5234,3239,4880,-272,663,-277,323,-34,-369,-19,61,109,113,165
4454,-3889,-5704,-3123,4776,-224,681,-399,276,-38,-326,13,47,102,133,175
4471,-3420,-5681,-3740,4427,-224,681,-399,260,-36,-314,22,51,56,100,89
4489,-3004,-5914,-4294,4403,-205,686,-447,194,-35,-256,46,45,79,105,97
4545,4722,-6196,-6666,3834,-198,687,-710,119,-42,-161,60,50,131,133,90
4562,5224,-6161,-7211,3679,-198,687,-710,105,-44,-138,64,58,133,171,100
4580,5734,-5974,-7781,3332,-215,681,-768,85,-49,-118,62,72,126,206,96
4597,6209,-5874,-8190,3234,-225,677,-791,71,-50,-116,64,97,137,207,94
4629,6922,-5527,-8590,3045,-253,667,-789,60,-54,-125,65,117,123,281,104
4646,7214,-5349,-8720,2946,-268,662,-793,62,-54,-136,64,150,125,297,99
4663,7408,-5215,-8735,2934,-279,656,-787,66,-56,-143,63,153,99,324,182
4684,7510,-5128,-8756,-2934,-289,652,-805,64,-58,-173,62,168,104,336,162
4701,7642,-4769,-8701,-3223,-320,636,-813,61,-61,-191,57,203,97,335,125
4719,7609,-4740,-8534,-3143,-320,636,-813,61,-60,-189,51,207,110,374,136
4736,7579,-4724,-8420,-3076,-320,636,-813,58,-62,-190,46,225,121,372,141
4754,7808,-4326,-8466,-3368,-352,620,-789,58,-62,-185,40,221,118,368,156
4775,7815,-4395,-8491,-3285,-350,620,-800,59,-64,-183,36,248,120,363,152
4792,8007,-3934,-8494,-3615,-389,596,-763,60,-65,-179,33,237,111,396,100
4810,7997,-3945,-8440,-3520,-389,596,-763,63,-65,-175,33,268,114,397,97
4838,8311,-3341,-8398,-3838,-435,564,-670,65,-63,-178,36,296,85,393,123
4859,8306,-3391,-8357,-3736,-435,564,-670,74,-61,-182,40,316,82,364,105
4876,8377,-2927,-8239,-4073,-466,539,-608,74,-61,-182,40,298,83,362,109
4894,8404,3042,-8136,-4108,-479,526,-567,81,-56,-189,14,338,75,335,97
4911,8440,3001,-8011,-3853,-482,524,-510,81,-56,-189,14,328,75,349,85
